code,price,min_stock,max_stock,safety_stock,min_request,max_request,stock
ATK-KRT-01,56250,79,265,48,4,50,265
ATK-KRT-02,62500,23,82,13,4,28,82
ATK-KRT-03,137500,4,8,3,2,3,8
ATK-KRT-04,750000,2,3,1,1,1,3
ATK-KRT-05,14000,4,7,3,5,5,7
ATK-KRT-07,43750,10,18,8,15,15,18
ATK-KRT-08,50500,4,7,3,5,5,7
ATK-KRT-10,2400,140,265,119,250,250,265
ATK-KRT-11,14500,6,11,5,10,10,11
ATK-FLG-01,48500,8,17,6,1,6,17
ATK-FLG-02,50000,7,17,5,1,6,17
ATK-FLG-03,93750,5,17,3,1,5,17
ATK-FLG-04,138000,2,3,1,1,1,3
ATK-FLG-05,232400,2,3,1,2,2,3
ATK-FLG-06,232400,2,3,1,1,1,3
ATK-FLG-07,232400,2,3,1,1,1,3
ATK-FLG-08,125000,2,3,1,2,2,3
ATK-FLG-09,91875,4,8,3,4,4,8
ATK-FLG-10,91875,5,9,4,8,8,9
ATK-FLG-11,55000,4,10,3,2,4,10
ATK-FLG-12,52500,2,3,1,1,1,3
ATK-FLG-13,37500,3,6,2,2,2,6
ATK-FLG-14,26250,5,9,4,2,5,9
ATK-FLG-15,19000,3,6,2,2,3,6
ATK-FLG-16,47500,21,41,17,1,36,41
ATK-FLG-17,47500,71,134,60,125,125,134
ATK-FLG-18,72000,4,7,3,5,5,7
ATK-FLG-19,72000,4,7,3,5,5,7
ATK-FLG-20,72000,7,13,6,12,12,13
ATK-FLG-21,142500,2,3,1,1,1,3
ATK-FLG-22,312500,2,3,1,1,1,3
ATK-FLG-23,30000,5,11,4,5,6,11
ATK-FLG-24,750000,2,3,1,1,1,3
ATK-FLG-25,750000,9,16,7,2,12,16
ATK-FLG-26,750000,4,7,3,1,4,7
ATK-FLG-27,656250,2,4,1,1,2,4
ATK-FLG-28,25000,4,7,3,5,5,7
ATK-FLG-29,37500,2,3,1,2,2,3
ATK-FLG-30,212500,8,23,5,1,10,23
ATK-FLG-31,218750,7,21,4,1,6,21
ATK-FLG-32,190000,6,11,5,9,9,11
ATK-FLG-34,656250,6,14,4,1,6,14
ATK-FLG-35,86000,2,3,1,2,2,3
ATK-FLG-36,1850,280,530,238,500,500,530
ATK-FLG-38,142500,4,7,3,1,5,7
ATK-FRM-01,60000,40,80,33,10,70,80
ATK-FRM-02,1800,1739,3989,1364,1000,2000,3989
ATK-FRM-03,18750,3,5,2,3,3,5
ATK-ALT-01,52500,21,44,17,5,20,44
ATK-ALT-02,41700,2,3,1,2,2,3
ATK-ALT-03,3500,10,22,8,2,10,22
ATK-ALT-05,7000,6,12,5,2,10,12
ATK-ALT-06,43000,12,22,10,10,10,22
ATK-ALT-07,53000,2,3,1,1,1,3
ATK-ALT-08,7000,7,17,5,5,10,17
ATK-ALT-09,120000,2,3,1,2,2,3
ATK-ALT-10,25000,15,42,10,3,10,42
ATK-ALT-11,114000,2,3,1,1,1,3
ATK-ALT-12,56250,7,13,6,12,12,13
ATK-ALT-13,25000,3,5,2,3,3,5
ATK-ALT-14,62000,4,7,3,5,5,7
ATK-ALT-15,43750,7,13,6,11,11,13
ATK-ALT-16,50000,5,11,4,2,3,11
ATK-ALT-17,13750,4,8,3,1,5,8
ATK-ALT-18,2500,6,13,4,1,6,13
ATK-ALT-19,18750,2,4,1,1,2,4
ATK-ALT-20,56250,3,6,2,1,2,6
ATK-ALT-21,56250,2,3,1,1,1,3
ATK-ALT-22,125000,3,5,2,3,3,5
ATK-ALT-23,50000,4,9,3,2,5,9
ATK-ALT-24,35000,2,3,1,2,2,3
ATK-ALT-25,104500,4,7,3,5,5,7
ATK-ALT-26,43000,2,3,1,2,2,3
ATK-ALT-27,75000,2,3,1,2,2,3
ATK-ALT-28,52500,2,3,1,2,2,3
ATK-ALT-29,52500,2,3,1,2,2,3
ATK-ALT-30,62500,2,3,1,1,1,3
ATK-ALT-31,62500,2,3,1,1,1,3
ATK-ALT-32,19000,9,19,7,1,10,19
ATK-ALT-33,250000,3,8,2,1,2,8
ATK-ALT-34,250000,3,8,2,1,2,8
ATK-ALT-35,250000,3,5,2,1,2,5
ATK-ALT-36,68750,8,19,6,1,10,19
ATK-ALT-37,68750,8,19,6,1,10,19
ATK-ALT-38,82500,3,5,2,3,3,5
ATK-ALT-39,70000,3,5,2,3,3,5
ATK-ALT-40,250000,3,5,2,1,2,5
ATK-ALT-42,18750,19,43,15,24,24,43
ATK-ALT-43,31250,16,44,11,2,15,44
ATK-ALT-44,100000,2,3,1,1,1,3
ATK-ALT-45,100000,8,22,5,1,8,22
ATK-ALT-46,100000,6,11,5,10,10,11
ATK-ALT-47,100000,2,3,1,1,1,3
ATK-ALT-48,100000,2,3,1,1,1,3
ATK-ALT-49,12500,18,42,14,6,30,42
ATK-ALT-50,12500,12,22,10,20,20,22
ATK-ALT-51,16250,12,24,10,3,10,24
ATK-ALT-52,12500,80,200,60,3,40,200
ATK-ALT-53,26250,9,23,6,3,6,23
ATK-ALT-54,18750,8,21,5,3,7,21
ATK-ALT-55,12500,20,51,14,3,30,51
ATK-ALT-56,26250,5,9,4,7,7,9
ATK-ALT-57,18750,7,14,5,3,10,14
ATK-ALT-59,125000,4,7,3,2,3,7
ATK-ALT-60,125000,4,8,3,1,5,8
ATK-ALT-61,28500,7,13,6,11,11,13
ATK-ALT-62,25000,2,3,1,1,1,3
ATK-ALT-63,24000,8,17,6,3,8,17
ATK-ALP-01,162500,2,3,1,2,2,3
ATK-ALP-02,23500,44,129,29,1,60,129
ATK-ALP-03,13750,6,15,4,1,5,15
ATK-ALP-04,23500,6,11,5,10,10,11
ATK-ALP-05,17500,6,11,5,5,5,11
ATK-ALP-06,17500,7,20,4,1,5,20
ATK-ALP-07,12000,21,65,13,2,20,65
ATK-ALP-08,10000,7,14,5,3,5,14
ATK-ALP-10,90000,54,107,45,2,60,107
ATK-ALP-11,106250,4,7,3,1,5,7
ATK-PRK-01,78125,7,14,5,3,10,14
ATK-PRK-02,9000,12,36,8,3,16,36
ATK-PRK-03,16900,10,22,8,2,16,22
ATK-PRK-04,16900,10,22,8,3,16,22
ATK-PRK-05,78125,3,5,2,1,3,5
ATK-PRK-06,12500,18,41,14,10,25,41
ATK-PRK-07,12500,4,7,3,6,6,7
ATK-PRK-08,16900,37,102,26,3,50,102
ATK-PRK-09,28125,57,108,48,2,100,108
ATK-PRK-10,6250,2,3,1,2,2,3
ATK-PRK-11,12500,2,3,1,2,2,3
ATK-PRK-12,16900,13,34,9,1,20,34
ATK-PRK-13,20700,45,119,32,2,40,119
ATK-PRK-14,16500,3,6,2,2,3,6
ATK-PRK-15,5625,3,5,2,4,4,5
ATK-PRK-16,19000,7,13,6,2,10,13
ATK-PRK-17,5625,12,22,10,20,20,22
ATK-PRK-18,132000,2,3,1,2,2,3
ATK-PRK-19,9500,6,11,5,10,10,11
ATK-PRK-20,42500,4,7,3,5,5,7
ATK-PRK-21,125000,4,7,3,5,5,7
ATK-PRK-22,125000,5,13,3,1,5,13
ATK-PRK-23,6500,45,85,38,10,60,85
ATK-PRK-24,32500,31,58,26,4,50,58
ATK-PJP-01,57000,10,29,6,2,8,29
ATK-PJP-02,62500,6,15,4,1,8,15
ATK-PJP-03,75000,6,14,4,1,8,14
ATK-PJP-04,10700,22,51,17,2,36,51
ATK-PJP-05,15000,27,62,21,2,24,62
ATK-PJP-06,33500,4,8,3,3,5,8
ATK-PJP-07,31250,12,28,9,1,20,28
ATK-PJP-08,76000,3,5,2,4,4,5
ATK-PJP-09,100000,3,6,2,1,4,6
ATK-PJP-10,68750,8,15,6,1,10,15
ATK-PJP-11,118750,2,3,1,2,2,3
ATK-PJP-12,12500,3,5,2,3,3,5
ATK-PJP-13,28800,4,7,3,5,5,7
ATK-PJP-14,25400,3,5,2,2,2,5
ATK-PJP-15,7000,4,7,3,6,6,7
ATK-PJP-16,57000,4,7,3,5,5,7
ATK-PJP-17,7000,7,18,5,2,6,18
ATK-PJP-18,7000,13,27,10,3,20,27
ATK-PJP-19,43750,10,20,8,2,15,20
ATK-PJP-20,7000,4,7,3,5,5,7
ATK-PJP-21,68750,3,5,2,3,3,5
ATK-PJP-22,31250,2,3,1,2,2,3
ATK-PJP-23,31250,9,18,7,2,5,18
ATK-PJP-24,106250,4,9,3,4,5,9
ATK-PJP-25,43750,2,3,1,2,2,3
ATK-PJP-26,12500,3,6,2,3,3,3
ATK-PJP-27,32000,2,3,1,1,1,2
ATK-ELK-01,42000,28,76,20,1,36,28
ATK-ELK-02,42000,16,47,10,1,20,16
ATK-ELK-03,493800,2,3,1,2,2,2
ATK-ELK-04,56250,2,3,1,2,2,2
ATK-ELK-05,72000,2,3,1,2,2,2
ATK-ELK-06,56250,2,3,1,2,2,2
ATK-ELK-07,312500,4,7,3,6,6,4
ATK-ELK-08,387500,2,3,1,2,2,2
ATK-ELK-09,1830000,2,3,1,1,1,2
ATK-ELK-10,237500,4,7,3,5,5,4
ATK-ELK-11,199500,3,5,2,3,3,3
ATK-ELK-12,199500,3,5,2,3,3,3
ATK-ELK-13,199500,3,5,2,3,3,3
ATK-ELK-14,250000,2,3,1,1,1,2
ATK-ELK-15,150000,3,5,2,4,4,3
ATK-ELK-16,406250,2,3,1,1,1,2
ATK-ELK-17,187500,3,8,2,2,3,3
ATK-ELK-18,437500,3,5,2,3,3,3
ATK-ELK-19,250000,2,3,1,1,1,2
ATK-ELK-21,125000,6,11,5,10,10,6
ATK-ELK-22,125000,4,7,3,5,5,4
ATK-ELK-23,125000,4,7,3,5,5,4
ATK-ELK-24,125000,4,7,3,5,5,4
ATK-ELK-25,350000,2,3,1,2,2,2
ATK-ELK-26,293750,2,3,1,2,2,2
ATK-ELK-27,293750,2,3,1,2,2,2
ATK-ELK-28,293750,2,3,1,2,2,2
ATK-ADM-01,12500,638,1713,458,50,700,638
ATK-ADM-02,100000,3,5,2,4,4,0
